"faqId","question","answer","sortOrder","isActive"
"faq-01","タピオカ抜きはできますか？","対象メニューはタピオカ抜きにできます。スムージーやスペシャルなど、もともとタピオカが入っていない商品もあります。","10","true"
"faq-02","甘さゼロや氷抜きは選べますか？","甘さはゼロ、少なめ、ふつう、多めから選べます。氷はふつう、少なめ、氷抜きに対応しています。","20","true"
"faq-03","テイクアウトできますか？","はい。福岡清川店ではテイクアウトでの受け取りに対応しています。受け取り予約も利用できます。","30","true"
"faq-04","カフェインが気になる場合は？","デカフェ変更に対応できるメニューがあります。気になる方は注文時にご確認ください。","40","true"
"faq-05","アレルギー情報は確認できますか？","牛乳、豆乳、ナッツ、ごま、チョコレートなどを使う商品があります。アレルギーをお持ちの方は注文前にスタッフへご相談ください。","50","true"
"faq-06","場所はどこですか？","福岡市中央区清川2-9-6です。渡辺通駅・西鉄平尾駅エリアからアクセスしやすい路面店です。","60","true"
