"id","label","note","isTapiocaFree","hasWhipByDefault","sortOrder"
"frappe","タピオカフラッペ","ひんやり濃厚なデザート感覚のタピオカドリンク。オレオ、抹茶、黒ごま、バナナなど甘い一杯を楽しみたい方におすすめです。","false","true","10"
"milk","タピオカミルク","黒糖タピオカとミルクのコクを楽しめる定番カテゴリー。初めての方には黒糖タピオカミルクがおすすめです。","false","false","20"
"smoothie","スムージー","こちらの商品にはタピオカは入っていません。お好みでカスタマイズできます。","true","false","30"
"cheese-tea","タピオカチーズティー","店内抽出のお茶に特製チーズフォームを合わせたシリーズ。甘さ控えめでも満足感のある味わいです。","false","false","40"
"tea","タピオカティー","アッサム紅茶、ジャスミン茶、緑茶、ほうじ茶、八女抹茶など、お茶の香りを主役にしたタピオカメニューです。","false","false","50"
"special","スペシャル","こちらの商品にはタピオカは入っていません。お好みでカスタマイズできます。","true","false","60"
"coffee","タピオカコーヒー","コーヒーの香りともちもちタピオカを合わせた、甘いドリンクが苦手な方にも選びやすいカテゴリーです。","false","false","70"
"tea-coffee","Tea & Coffee","こちらの商品にはタピオカは入っていません。お好みでカスタマイズできます。","true","false","80"
