"storeId","statusLabel","name","summary","postalCode","addressRegion","addressLocality","streetAddress","address","intro","hours","openingHoursSchema","closedDays","nearestStation","usage","paymentNote","googleMapsUrl","googleMapsEmbedUrl","uberEatsUrl","phone","isPrimary","sortOrder","isActive"
"kiyokawa","open now","福岡清川店","福岡市中央区清川の路面店。テイクアウト・受け取り予約に対応。","〒810-0005","福岡県","福岡市中央区","清川2-9-6","福岡市中央区清川2-9-6","清川通りから少し入った路面店です。テイクアウトは店頭右側の pickup desk で受け取れます。","12:00-00:30","[{""dayOfWeek"":[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""],""opens"":""12:00"",""closes"":""00:30""}]","不定休","渡辺通駅・西鉄平尾駅エリア","テイクアウト・受け取り予約","PayPay・Alipay+・WeChat Pay・クレジットカード（Visa / Mastercard / JCB）","https://www.google.com/maps/search/?api=1&query=%E7%A6%8F%E5%B2%A1%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E6%B8%85%E5%B7%9D2-9-6","https://www.google.com/maps?q=%E7%A6%8F%E5%B2%A1%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E6%B8%85%E5%B7%9D2-9-6&output=embed","https://www.ubereats.com/jp/store/nanacha-%E6%B8%85%E5%B7%9D%E5%BA%97-nanacha-kiyokawa/4qJ-17U0RB-kK4GdDu_35w","","true","10","true"
"next-store","coming soon","次の店舗","新しい店舗情報は、準備が整い次第こちらでお知らせします。","","","","","","","","","","","","","","","","","false","20","true"
